bate,min,dif,tt_unid,ano_lan,ar_ut_un
FALSE,69,-0.10144927536231885,62,2014,54
FALSE,66,-0.2727272727272727,48,2012,56.84
FALSE,12,-0.33333333333333337,8,2012,56.84
FALSE,76,-0.368421052631579,48,2010,66
FALSE,37,-0.7567567567567568,9,2009,151.41
FALSE,114,-0.16666666666666663,95,2017,29.38
FALSE,57,-0.4385964912280702,32,2014,73
TRUE,17,0.8823529411764706,32,2014,30.77
FALSE,194,-0.5876288659793815,80,2011,98.51
TRUE,28,0.9642857142857142,55,2018,26.25
FALSE,58,-0.017241379310344862,57,2018,37.89
FALSE,34,-0.3529411764705882,22,2018,68.94
FALSE,106,-0.5754716981132075,45,2018,94.7
FALSE,60,-0.19999999999999996,48,2018,47.4
FALSE,101,-0.504950495049505,50,2018,93
FALSE,110,-0.5454545454545454,50,2018,93
FALSE,12,-0.33333333333333337,8,2010,73.41
FALSE,63,-0.4920634920634921,32,2010,73.41
FALSE,96,-0.5833333333333333,40,2010,100.26
TRUE,39,0.07692307692307687,42,2018,40.81
FALSE,26,-0.038461538461538436,25,2018,40.81
FALSE,28,-0.1785714285714286,23,2018,46
FALSE,41,-0.4390243902439024,23,2018,73.68
FALSE,49,-0.5306122448979591,23,2018,91.06
TRUE,21,0.04761904761904767,22,2015,38.1
FALSE,38,-0.21052631578947367,30,2015,55.83
FALSE,40,-0.625,15,2010,123.24
FALSE,55,-0.6545454545454545,19,2010,123.24
TRUE,54,0.03703703703703698,56,2014,44.89
TRUE,6,1,12,2014,28
FALSE,45,-0.022222222222222254,44,2014,40.59
FALSE,19,-0.26315789473684215,14,2011,55
FALSE,17,-0.4117647058823529,10,2011,55
FALSE,96,-0.6354166666666667,35,2016,137
FALSE,302,-0.7649006622516556,71,2016,211.56
FALSE,69,-0.24637681159420288,52,2011,55.03
FALSE,75,-0.4666666666666667,40,2011,77
FALSE,121,-0.5371900826446281,56,2010,94
FALSE,354,-0.6073446327683616,139,2018,108.14
TRUE,64,0,64,2016,48
FALSE,45,-0.11111111111111116,40,2012,52.3
FALSE,319,-0.7115987460815048,92,2011,160.52
TRUE,44,0.09090909090909083,48,2016,34.95
FALSE,27,-0.11111111111111116,24,2016,44.86
FALSE,70,-0.3857142857142857,43,2012,67.01
FALSE,35,-0.5142857142857142,17,2012,67.01
FALSE,56,-0.3571428571428571,36,2008,71.5
FALSE,70,-0.2571428571428571,52,2013,51
FALSE,11,-0.36363636363636365,7,2013,67
FALSE,6,-0.5,3,2013,69
FALSE,156,-0.782051282051282,34,2011,198.08
FALSE,164,-0.060975609756097615,154,2012,41.53
FALSE,60,-0.33333333333333337,40,2012,65.32
FALSE,192,-0.6041666666666667,76,2013,96
FALSE,113,-0.663716814159292,38,2014,131.5
FALSE,42,-0.09523809523809523,38,2014,49.94
TRUE,74,0.10810810810810811,82,2011,36
FALSE,96,-0.16666666666666663,80,2017,42.64
TRUE,63,0.26984126984126977,80,2017,40.04
FALSE,23,-0.04347826086956519,22,2011,54
FALSE,24,-0.25,18,2011,54
FALSE,51,-0.11764705882352944,45,2018,48
FALSE,182,-0.19780219780219777,146,2018,53
FALSE,65,-0.7538461538461538,16,2014,170
TRUE,159,0.17610062893081757,187,2018,33.67
FALSE,13,-0.5384615384615384,6,2018,96.02
FALSE,55,-0.6909090909090909,17,2018,139.16
FALSE,63,-0.33333333333333337,42,2018,63.75
FALSE,57,-0.368421052631579,36,2018,68.15
FALSE,59,-0.6271186440677966,22,2018,115.87
TRUE,39,0.23076923076923084,48,2008,40
TRUE,39,0.10256410256410264,43,2008,45
FALSE,49,-0.08163265306122447,45,2011,41.79
FALSE,7,-0.2857142857142857,5,2011,65.82
FALSE,186,-0.5376344086021505,86,2017,78.04
FALSE,140,-0.3857142857142857,86,2017,73.06
FALSE,296,-0.43581081081081086,167,2017,73.06
FALSE,144,-0.5902777777777778,59,2017,73.06
FALSE,84,-0.4285714285714286,48,2010,71.45
FALSE,181,-0.06077348066298338,170,2013,41
FALSE,23,-0.30434782608695654,16,2013,64
FALSE,111,-0.42342342342342343,64,2013,64
FALSE,20,-0.5,10,2013,82
FALSE,18,-0.6111111111111112,7,2013,113
FALSE,6,-0.6666666666666667,2,2013,147
FALSE,715,-0.8545454545454545,104,2012,246.02
FALSE,364,-0.8571428571428572,52,2012,246.02
FALSE,181,-0.7458563535911602,46,2018,167.04
FALSE,314,-0.7834394904458599,68,2018,197.72
FALSE,83,-0.7951807228915663,17,2018,207.74
FALSE,22,-0.4545454545454546,12,2018,78.41
FALSE,176,-0.5909090909090908,72,2018,104.6
FALSE,97,-0.7731958762886598,22,2013,182
FALSE,75,-0.7866666666666666,16,2013,182
FALSE,94,-0.5531914893617021,42,2010,92.68
FALSE,61,-0.21311475409836067,48,2015,54.12
FALSE,108,-0.6666666666666667,36,2008,148
FALSE,82,-0.8170731707317074,15,2013,218
FALSE,30,-0.8333333333333334,5,2013,218
TRUE,38,0.05263157894736836,40,2011,41.6
FALSE,81,-0.33333333333333337,54,2018,68.76
FALSE,7,-0.1428571428571429,6,2018,51.89
FALSE,90,-0.33333333333333337,60,2009,66.53
FALSE,40,-0.42500000000000004,23,2012,59.34
FALSE,187,-0.5080213903743316,92,2012,75.51
FALSE,94,-0.2978723404255319,66,2014,60.08
TRUE,187,0.14438502673796783,214,2017,40.55
TRUE,70,0.1428571428571428,80,2008,45.5
FALSE,33,-0.030303030303030276,32,2008,45.5
FALSE,99,-0.030303030303030276,96,2010,41.02
FALSE,149,-0.2214765100671141,116,2010,55.02
FALSE,21,-0.5238095238095238,10,2010,84.52
FALSE,59,-0.0847457627118644,54,2016,47.8
FALSE,137,-0.4744525547445255,72,2016,79.6
FALSE,122,-0.5573770491803278,54,2016,97.7
FALSE,27,-0.33333333333333337,18,2016,67.75
FALSE,74,-0.05405405405405406,70,2016,53.16
TRUE,33,0.030303030303030276,34,2011,38.23
FALSE,41,-0.1707317073170732,34,2011,50.77
FALSE,126,-0.17460317460317465,104,2011,46.35
FALSE,94,-0.7765957446808511,21,2018,151
FALSE,84,-0.33333333333333337,56,2017,50.85
FALSE,60,-0.06666666666666665,56,2017,44.59
FALSE,103,-0.2621359223300971,76,2012,62.53
FALSE,98,-0.40816326530612246,58,2014,85.34
FALSE,12,-0.5,6,2014,85.34
FALSE,13,-0.3846153846153846,8,2014,68.95
FALSE,8,-0.5,4,2014,86.25
FALSE,70,-0.37142857142857144,44,2014,81.92
FALSE,57,-0.4736842105263158,30,2014,98.28
FALSE,992,-0.8316532258064516,167,2018,270
TRUE,76,0.19736842105263164,91,2018,38.39
TRUE,11,0.2727272727272727,14,2018,40.65
FALSE,315,-0.33333333333333337,210,2018,65
FALSE,436,-0.5,218,2018,82.53
FALSE,31,-0.29032258064516125,22,2018,60.42
FALSE,39,-0.41025641025641024,23,2018,73.66
TRUE,97,0.17525773195876293,114,2011,39.55
FALSE,54,-0.2962962962962963,38,2011,64.94
FALSE,121,-0.008264462809917328,120,2010,39.55
FALSE,64,-0.1875,52,2010,52.34
FALSE,6,-0.33333333333333337,4,2010,69.87
TRUE,127,0.2913385826771653,164,2009,36
FALSE,101,-0.08910891089108908,92,2009,50
FALSE,46,-0.17391304347826086,38,2013,54
